iter	Logloss
0	0.6888664588
1	0.6801257993
2	0.6725827532
3	0.6682954535
4	0.6616742608
5	0.6555874563
6	0.651604474
7	0.6482157857
8	0.6445875214
9	0.640889898
10	0.6355245184
11	0.6307285531
12	0.6267938589
13	0.6224036789
14	0.6184118554
15	0.6150954736
16	0.6119502302
17	0.6089099963
18	0.6070114579
19	0.6042606169
20	0.5999733293
21	0.5962001276
22	0.5934179513
23	0.5889080594
24	0.5864759949
25	0.5834527406
26	0.580736438
27	0.5773487698
28	0.5738096411
29	0.5719970296
30	0.5691343019
31	0.5673966909
32	0.5651609013
33	0.563198136
34	0.5608159361
35	0.5586322269
36	0.5565929829
37	0.5548638768
38	0.5529806366
39	0.5507130964
40	0.5489150451
41	0.5474472959
42	0.5443208493
43	0.5428962025
44	0.5414969208
45	0.5382471109
46	0.5360466932
47	0.5348741866
48	0.5323734204
49	0.531097609
50	0.5286985047
51	0.5265753971
52	0.5245210136
53	0.5227271078
54	0.5212514831
55	0.5198300381
56	0.5176678599
57	0.5161604454
58	0.5144256802
59	0.5118364627
60	0.5106649135
61	0.5093376999
62	0.5084680838
63	0.5069140713
64	0.5065353085
65	0.5045037584
66	0.5021509992
67	0.5002165969
68	0.4995836307
69	0.4984429815
70	0.4974859455
71	0.4954093041
72	0.4946432202
73	0.4926247091
74	0.4916075165
75	0.4900576308
76	0.4885038357
77	0.4876567166
78	0.4863777965
79	0.4852309313
80	0.4841317493
81	0.4831927346
82	0.4823330735
83	0.4812693193
84	0.4802062273
85	0.4791179869
86	0.478385566
87	0.4777290928
88	0.4769324161
89	0.4756825936
90	0.4748918425
91	0.4740444813
92	0.4729755229
93	0.47167598
94	0.4706895667
95	0.4699632717
96	0.4692757133
97	0.4684533921
98	0.4679420373
99	0.4675679555
100	0.4668455745
101	0.4658182071
102	0.4652796438
103	0.4646462728
104	0.4641173601
105	0.4628317139
106	0.461983009
107	0.460821679
108	0.4602495197
109	0.4597102061
110	0.4588898127
111	0.4581114437
112	0.4574268245
113	0.4567508331
114	0.4560234807
115	0.455400627
116	0.4549480302
117	0.454543192
118	0.4539570445
119	0.4535817977
120	0.4531220456
121	0.4527970225
122	0.4517692225
123	0.4512982541
124	0.4508657739
125	0.450303191
126	0.4497400605
127	0.4493636797
128	0.4489446675
129	0.4485352437
130	0.4479983796
131	0.4474625325
132	0.4470919807
133	0.4466953625
134	0.4463324585
135	0.4458881983
136	0.4453217827
137	0.444821931
138	0.4444542592
139	0.4439300914
140	0.4436681536
141	0.4433710773
142	0.4428298777
143	0.4424255339
144	0.4417295816
145	0.4412971549
146	0.4409594341
147	0.4406795598
148	0.4403717955
149	0.4401054746
150	0.4394383412
151	0.4387449384
152	0.4381095402
153	0.4376330503
154	0.4368115591
155	0.436491787
156	0.4361547968
157	0.4358259501
158	0.4355162383
159	0.435197231
160	0.4350123141
161	0.4345551645
162	0.4340043187
163	0.4335112702
164	0.4330012704
165	0.4327279105
166	0.4320154258
167	0.4318008412
168	0.4314828426
169	0.4312778997
170	0.4308951419
171	0.430374738
172	0.4297929876
173	0.42944952
174	0.4290437417
175	0.4288683697
176	0.4287203869
177	0.4283232733
178	0.4281311144
179	0.4278399042
180	0.4275418455
181	0.4272247758
182	0.426356864
183	0.4262055333
184	0.4258746084
185	0.4257000324
186	0.4254488131
187	0.4250499877
188	0.4248095626
189	0.4247070507
190	0.4243837146
191	0.4239671469
192	0.423251066
193	0.4229688424
194	0.4226290446
195	0.4221507549
196	0.4219867449
197	0.4217449625
198	0.4214507749
199	0.4211968688
2296973
