iter	Passed	Remaining
0	1	295
1	3	321
2	8	556
3	11	586
4	13	524
5	15	500
6	19	531
7	20	498
8	22	470
9	23	445
10	24	423
11	25	406
12	27	393
13	29	389
14	30	376
15	31	366
16	33	360
17	36	364
18	37	356
19	40	365
20	41	357
21	43	349
22	45	349
23	47	345
24	49	346
25	51	341
26	52	337
27	54	334
28	56	331
29	57	324
30	58	319
31	59	313
32	63	322
33	67	331
34	72	342
35	74	337
36	76	336
37	79	338
38	81	335
39	83	333
40	89	348
41	91	343
42	92	338
43	94	336
44	96	330
45	97	327
46	100	326
47	101	322
48	103	318
49	104	314
50	106	310
51	107	306
52	109	302
53	111	302
54	115	304
55	116	300
56	118	296
57	119	292
58	122	293
59	124	290
60	125	287
61	127	284
62	132	287
63	133	283
64	134	279
65	142	289
66	144	286
67	145	282
68	147	279
69	149	277
70	150	273
71	152	270
72	153	266
73	155	265
74	157	262
75	158	258
76	160	255
77	161	252
78	162	249
79	164	247
80	167	245
81	169	243
82	170	240
83	172	237
84	173	235
85	175	232
86	176	229
87	179	228
88	181	226
89	183	224
90	185	221
91	186	219
92	188	217
93	190	214
94	191	211
95	193	209
96	197	209
97	198	206
98	199	204
99	201	201
100	202	198
101	204	196
102	205	193
103	207	191
104	209	189
105	214	189
106	215	187
107	218	186
108	221	184
109	224	183
110	229	183
111	230	181
112	232	179
113	241	182
114	250	185
115	261	189
116	266	189
117	268	186
118	270	184
119	273	182
120	277	180
121	278	178
122	281	176
123	289	177
124	291	174
125	299	175
126	308	177
127	312	175
128	315	173
129	318	171
130	324	170
131	331	170
132	338	170
133	342	168
134	347	167
135	351	165
136	353	162
137	355	159
138	371	162
139	372	159
140	383	160
141	387	158
142	388	154
143	390	151
144	391	148
145	393	145
146	396	142
147	397	139
148	400	136
149	403	134
150	407	132
151	410	129
152	412	126
153	414	123
154	417	121
155	418	118
156	419	115
157	421	112
158	423	109
159	424	106
160	426	103
161	428	100
162	429	97
163	432	94
164	433	91
165	435	89
166	436	86
167	438	83
168	440	80
169	448	79
170	452	76
171	454	73
172	455	71
173	457	68
174	458	65
175	460	62
176	462	60
177	466	57
178	468	54
179	470	52
180	483	50
181	496	49
182	500	46
183	501	43
184	504	40
185	507	38
186	510	35
187	513	32
188	515	29
189	516	27
190	518	24
191	519	21
192	521	18
193	522	16
194	524	13
195	525	10
196	528	8
197	529	5
198	531	2
199	533	0
	0
197	702	7
198	704	3
199	705	0
11
196	578	8
197	579	5
198	580	2
199	581	0
